TaskID,ProjectID,ProjectName,ClientName,ClientCountry,ClientRegion,Industry,AssignedEmployeeID,TaskTitle,SkillDomain,ComplexityTier,PlannedHours,ActualHours,IsHoursOverrun,BillableHourlyRate_USD,TotalBilling_USD,TaskStatus,ClientSatisfactionRating,TaskStartDate,DeliveryDeadline,ActualCompletionDate,IsDeliveryDelayed
TSK-00001,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-10840,Design & Implement RESTful Payment Endpoints (PRJ-902),Software Engineering,Level 2 - Specialized,40,48.8,True,86.25,4209.0,Completed,5.0,2026-07-13,2026-07-25,2026-07-31,True
TSK-00002,PRJ-907,Zero-Trust Security Identity Mesh,Nordic Cyber Defence,Germany,Europe,Cybersecurity,EMP-10218,Design & Implement RESTful Payment Endpoints (PRJ-907),Software Engineering,Level 2 - Specialized,40,34.6,False,109.25,3780.05,Completed,4.5,2026-07-29,2026-08-11,2026-08-16,True
TSK-00003,PRJ-907,Zero-Trust Security Identity Mesh,Nordic Cyber Defence,Germany,Europe,Cybersecurity,EMP-16217,Next.js 14 Responsive Executive Dashboard (PRJ-907),Software Engineering,Level 1 - Core,30,32.2,True,95.0,3059.0,Completed,4.0,2025-06-13,2025-06-27,2025-06-30,True
TSK-00004,PRJ-906,Fleet Telematics & IoT Tracking API,LogiTrans Gulf Express,Saudi Arabia,Gulf / MENA,Supply Chain,EMP-12758,PostgreSQL to Snowflake Lakehouse Replication (PRJ-906),Data & AI Engineering,Level 3 - Enterprise Architect,60,55.7,False,81.0,4860.0,In Progress,,2025-04-15,2025-05-02,,False
TSK-00005,PRJ-907,Zero-Trust Security Identity Mesh,Nordic Cyber Defence,Germany,Europe,Cybersecurity,EMP-10356,PySpark ETL Pipeline for Turnstile Telemetry (PRJ-907),Data & AI Engineering,Level 2 - Specialized,50,51.5,True,109.25,5626.38,Completed,5.0,2026-04-16,2026-05-04,2026-05-02,False
TSK-00006,PRJ-907,Zero-Trust Security Identity Mesh,Nordic Cyber Defence,Germany,Europe,Cybersecurity,EMP-15067,PySpark ETL Pipeline for Turnstile Telemetry (PRJ-907),Data & AI Engineering,Level 2 - Specialized,50,56.3,True,109.25,5462.5,Under Review,,2026-01-06,2026-01-24,,False
TSK-00007,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-10654,Mobile Flutter Biometric Authentication Module (PRJ-904),Software Engineering,Level 1 - Core,28,24.8,False,70.0,1736.0,Completed,4.0,2025-08-27,2025-09-05,2025-09-08,True
TSK-00008,PRJ-905,Microservices Core Banking Gateway,Banque du Caire Digital,Egypt,Domestic Egypt,Fintech & Banking,EMP-11717,Fine-Tuning Llama-3 Model for Customer Ticket RAG (PRJ-905),Data & AI Engineering,Level 3 - Enterprise Architect,70,81.7,True,60.75,4963.28,Completed,5.0,2025-10-01,2025-10-25,2025-10-23,False
TSK-00009,PRJ-903,AI Medical Diagnostic Assistant,HealthBridge BioSystems,United States,North America,Healthcare,EMP-15243,AWS Terraform Infrastructure as Code Provisioning (PRJ-903),Cloud Architecture,Level 2 - Specialized,45,54.7,True,97.75,5346.93,Completed,5.0,2026-07-25,2026-08-08,2026-08-10,True
TSK-00010,PRJ-901,Fintech Mobile Banking Engine,Aramco Tech Ventures,Saudi Arabia,Gulf / MENA,Fintech & Banking,EMP-13287,Next.js 14 Responsive Executive Dashboard (PRJ-901),Software Engineering,Level 1 - Core,30,37.8,True,65.0,1950.0,Under Review,,2025-10-02,2025-10-11,,False
TSK-00011,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-12578,SOC2 Compliance Evidence Collection Automation (PRJ-904),Cybersecurity,Level 2 - Specialized,32,42.3,True,80.5,2576.0,Under Review,,2025-08-06,2025-08-21,,False
TSK-00012,PRJ-908,Enterprise HR & Talent SaaS Portal,Apex Workforce Solutions,United States,North America,Human Capital,EMP-11144,End-to-End Cypress Integration & Performance Suite (PRJ-908),Quality Engineering,Level 1 - Core,30,38.8,True,68.0,2638.4,Completed,5.0,2025-09-10,2025-09-24,2025-09-29,True
TSK-00013,PRJ-905,Microservices Core Banking Gateway,Banque du Caire Digital,Egypt,Domestic Egypt,Fintech & Banking,EMP-13272,Mobile Flutter Biometric Authentication Module (PRJ-905),Software Engineering,Level 1 - Core,28,32.0,True,45.0,1260.0,Under Review,,2026-01-06,2026-01-16,,False
TSK-00014,PRJ-903,AI Medical Diagnostic Assistant,HealthBridge BioSystems,United States,North America,Healthcare,EMP-11253,AWS Terraform Infrastructure as Code Provisioning (PRJ-903),Cloud Architecture,Level 2 - Specialized,45,49.4,True,97.75,4828.85,Completed,4.0,2025-06-13,2025-07-01,2025-07-04,True
TSK-00015,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-14533,End-to-End Cypress Integration & Performance Suite (PRJ-902),Quality Engineering,Level 1 - Core,30,31.2,True,75.0,2250.0,Scope Revision Requested,3.0,2025-01-12,2025-01-26,,False
TSK-00016,PRJ-902,Cloud Data Lakehouse Migration,Emirates Digital Holdings,United Arab Emirates,Gulf / MENA,Energy & Logistics,EMP-12787,Penetration Testing & Remediation of API Endpoints (PRJ-902),Cybersecurity,Level 2 - Specialized,20,25.8,True,86.25,2225.25,Completed,4.0,2025-04-25,2025-05-04,2025-05-07,True
TSK-00017,PRJ-903,AI Medical Diagnostic Assistant,HealthBridge BioSystems,United States,North America,Healthcare,EMP-14101,Fine-Tuning Llama-3 Model for Customer Ticket RAG (PRJ-903),Data & AI Engineering,Level 3 - Enterprise Architect,70,59.6,False,114.75,6839.1,Completed,4.5,2025-07-02,2025-07-25,2025-07-23,False
TSK-00018,PRJ-905,Microservices Core Banking Gateway,Banque du Caire Digital,Egypt,Domestic Egypt,Fintech & Banking,EMP-16247,CI/CD Pipeline Optimization with Docker BuildKit (PRJ-905),DevOps & SRE,Level 1 - Core,18,21.1,True,45.0,949.5,Completed,5.0,2025-06-15,2025-06-25,2025-06-30,True
TSK-00019,PRJ-901,Fintech Mobile Banking Engine,Aramco Tech Ventures,Saudi Arabia,Gulf / MENA,Fintech & Banking,EMP-16814,GraphQL Gateway Federation & Schema Stitching (PRJ-901),Software Engineering,Level 2 - Specialized,35,35.4,True,74.75,2646.15,Completed,3.5,2025-11-11,2025-11-22,2025-11-19,False
TSK-00020,PRJ-904,Omnichannel E-Commerce Modernization,RetailNext Global,United Kingdom,Europe,Retail & Consumer,EMP-16685,SOC2 Compliance Evidence Collection Automation (PRJ-904),Cybersecurity,Level 2 - Specialized,32,36.3,True,80.5,2922.15,Completed,4.5,2025-03-12,2025-03-26,2025-03-25,False
TSK-00021,PRJ-903,AI Medical Diagnostic Assistant,HealthBridge BioSystems,United States,North America,Healthcare,EMP-14970,Penetration Testing & Remediation of API Endpoints (PRJ-903),Cybersecurity,Level 2 - Specialized,20,21.8,True,97.75,2130.95,Completed,5.0,2026-03-10,2026-03-18,2026-03-23,True
