EmployeeID,EventType,EffectiveDate,PreviousValue,NewValue,Salary_EGP,IsTerminated
EMP-15784,HIRE,2017-01-01,,التجمع,11501,0
EMP-15826,HIRE,2017-01-01,,الدقي,18164,0
EMP-13314,HIRE,2017-01-01,,التجمع,11821,0
EMP-15371,HIRE,2017-01-02,,سموحة,7236,0
EMP-10832,HIRE,2017-01-02,,الاسكندرية سموحة,14029,0
EMP-16787,HIRE,2017-01-03,,سموحة,13920,0
EMP-12333,HIRE,2017-01-03,,الاسكندرية سموحة,13978,0
EMP-13573,HIRE,2017-01-03,,القاهره المعادي,12238,0
EMP-15786,HIRE,2017-01-03,,فرع المعادي,19570,0
EMP-16737,HIRE,2017-01-03,,التجمع,7472,0
EMP-10721,HIRE,2017-01-03,,الجيزة - الدقي,12017,0
EMP-15063,HIRE,2017-01-04,,القاهره المعادي,16215,0
EMP-14506,HIRE,2017-01-04,,بورسعيد - الشرق,14112,0
EMP-11529,HIRE,2017-01-04,,الجيزة - الدقي,16677,0
EMP-10607,HIRE,2017-01-04,,فرع المعادي,18570,0
EMP-13884,HIRE,2017-01-04,,الجيزة - الدقي,12697,0
EMP-13777,HIRE,2017-01-05,,سموحة,9543,0
EMP-13732,HIRE,2017-01-05,,سموحة,12650,0
EMP-13165,HIRE,2017-01-06,,الدقي,17031,0
EMP-15412,HIRE,2017-01-08,,القاهرة - التجمع الخامس,8579,0
EMP-13567,HIRE,2017-01-09,,القاهرة - المعادي,13420,0
EMP-13463,HIRE,2017-01-09,,بورسعيد - الشرق,15191,0
EMP-10362,HIRE,2017-01-09,,الاسكندرية سموحة,8014,0
EMP-11221,HIRE,2017-01-10,,القاهرة - المعادي,16401,0
EMP-12353,HIRE,2017-01-11,,بورسعيد,12239,0
EMP-15530,HIRE,2017-01-13,,التجمع,9763,0
EMP-12247,HIRE,2017-01-14,,الجيزة - الدقي,8733,0
EMP-11442,HIRE,2017-01-14,,الإسكندرية - سموحة,7451,0
EMP-15148,HIRE,2017-01-15,,بورسعيد,14142,0
EMP-16865,HIRE,2017-01-15,,القاهرة - المعادي,11908,0
EMP-15118,HIRE,2017-01-16,,الاسكندرية سموحة,13009,0
EMP-10525,HIRE,2017-01-16,,القاهره المعادي,9601,0
EMP-12324,HIRE,2017-01-17,,التجمع,13791,0
EMP-12670,HIRE,2017-01-17,,بورسعيد,7150,0
EMP-14098,HIRE,2017-01-18,,الإسكندرية - سموحة,7843,0
EMP-12760,HIRE,2017-01-19,,الجيزة - الدقي,12630,0
EMP-13827,HIRE,2017-01-19,,القاهرة - المعادي,9182,0
EMP-10573,HIRE,2017-01-20,,الدقي,14412,0
EMP-11879,HIRE,2017-01-21,,القاهرة - المعادي,12396,0
EMP-11568,HIRE,2017-01-21,,القاهرة - المعادي,14330,0
EMP-12182,HIRE,2017-01-22,,التجمع,19766,0
EMP-10189,HIRE,2017-01-23,,سموحة,10412,0
EMP-11820,HIRE,2017-01-23,,التجمع,14210,0
EMP-13946,HIRE,2017-01-23,,بورسعيد - الشرق,16461,0
EMP-13846,HIRE,2017-01-24,,الجيزة - الدقي,12235,0
EMP-11950,HIRE,2017-01-24,,التجمع,14082,0
EMP-16553,HIRE,2017-01-24,,الجيزة - الدقي,14725,0
EMP-11763,HIRE,2017-01-24,,القاهرة - التجمع الخامس,17293,0
EMP-15729,HIRE,2017-01-24,,بورسعيد,15347,0
EMP-15808,HIRE,2017-01-25,,الإسكندرية - سموحة,14377,0
EMP-13011,HIRE,2017-01-25,,الدقي,18682,0
EMP-15858,HIRE,2017-01-25,,الدقي,9763,0
EMP-11498,HIRE,2017-01-26,,القاهرة - المعادي,9216,0
EMP-16430,HIRE,2017-01-26,,سموحة,9311,0
EMP-11416,HIRE,2017-01-26,,فرع المعادي,13726,0
EMP-13354,HIRE,2017-01-27,,الإسكندرية - سموحة,9126,0
EMP-13577,HIRE,2017-01-27,,بورسعيد,18938,0
EMP-15195,HIRE,2017-01-27,,التجمع,11289,0
EMP-11924,HIRE,2017-01-27,,القاهره المعادي,15165,0
EMP-14544,HIRE,2017-01-29,,القاهرة - التجمع الخامس,10631,0
EMP-10383,HIRE,2017-01-30,,القاهره المعادي,9266,0
EMP-13923,HIRE,2017-01-31,,الإسكندرية - سموحة,14903,0
EMP-12458,HIRE,2017-01-31,,بورسعيد - الشرق,17354,0
EMP-10672,HIRE,2017-02-02,,الإسكندرية - سموحة,13956,0
EMP-13022,HIRE,2017-02-02,,الدقي,14238,0
EMP-12222,HIRE,2017-02-02,,بورسعيد,12038,0
EMP-16519,HIRE,2017-02-02,,التجمع,13032,0
EMP-12392,HIRE,2017-02-02,,القاهره المعادي,14440,0
EMP-16711,HIRE,2017-02-02,,القاهره المعادي,7249,0
EMP-12001,HIRE,2017-02-03,,القاهره المعادي,18822,0
EMP-11399,HIRE,2017-02-04,,الجيزة - الدقي,9884,0
EMP-10476,HIRE,2017-02-04,,القاهرة - التجمع الخامس,10263,0
EMP-11359,HIRE,2017-02-05,,الاسكندرية سموحة,9241,0
EMP-13067,HIRE,2017-02-06,,بورسعيد,16221,0
EMP-10851,HIRE,2017-02-08,,فرع المعادي,10787,0
EMP-14899,HIRE,2017-02-08,,الجيزة - الدقي,15100,0
EMP-12293,HIRE,2017-02-08,,القاهرة - المعادي,7581,0
EMP-16630,HIRE,2017-02-09,,الاسكندرية سموحة,18982,0
EMP-14620,HIRE,2017-02-09,,القاهرة - التجمع الخامس,8773,0
EMP-10178,HIRE,2017-02-09,,الجيزة - الدقي,8542,0
EMP-15500,HIRE,2017-02-09,,الاسكندرية سموحة,15433,0
EMP-15900,HIRE,2017-02-10,,الاسكندرية سموحة,7548,0
EMP-10720,HIRE,2017-02-10,,التجمع,17157,0
EMP-10289,HIRE,2017-02-11,,الجيزة - الدقي,10122,0
EMP-10693,HIRE,2017-02-11,,بورسعيد - الشرق,15570,0
EMP-16323,HIRE,2017-02-12,,الإسكندرية - سموحة,14853,0
EMP-15750,HIRE,2017-02-12,,بورسعيد,9811,0
EMP-11965,HIRE,2017-02-13,,القاهرة - التجمع الخامس,8253,0
EMP-11647,HIRE,2017-02-13,,فرع المعادي,10753,0
EMP-13172,HIRE,2017-02-14,,الاسكندرية سموحة,13309,0
EMP-10766,HIRE,2017-02-14,,القاهرة - المعادي,15263,0
EMP-15264,HIRE,2017-02-14,,الاسكندرية سموحة,13411,0
EMP-12100,HIRE,2017-02-15,,الجيزة - الدقي,13906,0
EMP-12496,HIRE,2017-02-17,,فرع المعادي,10432,0
EMP-15335,HIRE,2017-02-17,,سموحة,17087,0
EMP-11569,HIRE,2017-02-17,,الاسكندرية سموحة,13021,0
EMP-12900,HIRE,2017-02-17,,الدقي,12079,0
EMP-15335,HIRE,2017-02-17,,سموحة,17087,0
EMP-10163,HIRE,2017-02-18,,الدقي,12789,0
EMP-16004,HIRE,2017-02-18,,القاهرة - التجمع الخامس,14330,0
EMP-11089,HIRE,2017-02-19,,فرع المعادي,14227,0
EMP-16539,HIRE,2017-02-19,,القاهرة - المعادي,10122,0
EMP-12062,HIRE,2017-02-19,,التجمع,16905,0
EMP-10807,HIRE,2017-02-20,,بورسعيد,19000,0
EMP-10719,HIRE,2017-02-20,,التجمع,11214,0
EMP-10601,HIRE,2017-02-20,,الاسكندرية سموحة,15921,0
EMP-10219,HIRE,2017-02-21,,الدقي,18305,0
EMP-15386,HIRE,2017-02-22,,فرع المعادي,14904,0
EMP-16531,HIRE,2017-02-23,,فرع المعادي,9939,0
EMP-16392,HIRE,2017-02-23,,بورسعيد - الشرق,9414,0
EMP-14718,HIRE,2017-02-23,,القاهرة - المعادي,15488,0
EMP-13566,HIRE,2017-02-23,,القاهرة - المعادي,15873,0
EMP-11779,HIRE,2017-02-24,,سموحة,10316,0
EMP-11566,HIRE,2017-02-24,,التجمع,11969,0
EMP-12597,HIRE,2017-02-25,,بورسعيد,15324,0
EMP-14083,HIRE,2017-02-25,,التجمع,15233,0
EMP-14150,HIRE,2017-02-26,,القاهره المعادي,17424,0
EMP-16736,HIRE,2017-02-26,,الدقي,16128,0
EMP-14155,HIRE,2017-02-26,,الجيزة - الدقي,8613,0
EMP-11587,HIRE,2017-02-26,,بورسعيد,12193,0
EMP-16605,HIRE,2017-03-01,,الدقي,14502,0
EMP-10743,HIRE,2017-03-03,,الجيزة - الدقي,15778,0
EMP-14965,HIRE,2017-03-03,,التجمع,19416,0
EMP-16281,HIRE,2017-03-04,,بورسعيد - الشرق,16121,0
EMP-16744,HIRE,2017-03-05,,بورسعيد,10701,0
EMP-15588,HIRE,2017-03-05,,الجيزة - الدقي,9189,0
EMP-12998,HIRE,2017-03-06,,القاهره المعادي,13397,0
EMP-13558,HIRE,2017-03-07,,الاسكندرية سموحة,12350,0
EMP-11757,HIRE,2017-03-07,,الدقي,14178,0
EMP-16752,HIRE,2017-03-08,,فرع المعادي,18004,0
EMP-16138,HIRE,2017-03-08,,الجيزة - الدقي,15343,0
EMP-10566,HIRE,2017-03-08,,فرع المعادي,17067,0
EMP-16081,HIRE,2017-03-09,,القاهره المعادي,17145,0
EMP-13277,HIRE,2017-03-09,,الجيزة - الدقي,12175,0
EMP-13136,HIRE,2017-03-10,,القاهرة - التجمع الخامس,9297,0
EMP-12587,HIRE,2017-03-12,,الجيزة - الدقي,12872,0
EMP-13318,HIRE,2017-03-12,,فرع المعادي,18343,0
EMP-16840,HIRE,2017-03-12,,الدقي,18654,0
EMP-11060,HIRE,2017-03-14,,القاهرة - التجمع الخامس,16699,0
EMP-10112,HIRE,2017-03-15,,القاهره المعادي,15596,0
EMP-13636,HIRE,2017-03-15,,فرع المعادي,19675,0
EMP-15406,HIRE,2017-03-15,,الجيزة - الدقي,9983,0
EMP-10973,HIRE,2017-03-15,,بورسعيد,13618,0
EMP-14771,HIRE,2017-03-15,,بورسعيد,11043,0
EMP-14287,HIRE,2017-03-17,,القاهرة - التجمع الخامس,13118,0
EMP-12932,HIRE,2017-03-17,,بورسعيد - الشرق,16034,0
EMP-12010,HIRE,2017-03-18,,التجمع,15524,0
EMP-14043,HIRE,2017-03-19,,بورسعيد,17784,0
EMP-11042,HIRE,2017-03-19,,الاسكندرية سموحة,7064,0
EMP-11625,HIRE,2017-03-19,,بورسعيد,16785,0
EMP-15965,HIRE,2017-03-20,,الإسكندرية - سموحة,9970,0
EMP-16375,HIRE,2017-03-20,,بورسعيد,10016,0
