FiscalYear,FiscalQuarter,Department,Branch,BudgetedHeadcount,AllocatedSalaryBudget_EGP,OvertimeAllowance_EGP
2022,Q1,الإدارة المالية,أسيوط - أسيوط الجديدة,70,2943360,321934.88
2022,Q1,الإدارة المالية,الإسكندرية - سموحة,45,2146365,107869.46
2022,Q1,الإدارة المالية,الإسكندرية - لوران,71,3649116,387237.57
2022,Q1,الإدارة المالية,الجيزة - 6 أكتوبر,46,1931310,130292.19
2022,Q1,الإدارة المالية,الجيزة - الدقي,69,2231460,208602.11
2022,Q1,الإدارة المالية,الجيزة - الشيخ زايد,56,1793400,190696.62
2022,Q1,الإدارة المالية,المنصورة,79,3724692,233382.35
2022,Q1,الإدارة المالية,الغربية - طنطا,80,3816480,358599.08
2022,Q1,الإدارة المالية,التجمع,35,1411200,82545.67
2022,Q1,الإدارة المالية,القاهرة - القرية الذكية,58,2232942,161332.88
2022,Q1,الإدارة المالية,فرع المعادي,43,1267683,119953.33
2022,Q1,الإدارة المالية,القاهرة - مصر الجديدة,58,1860756,101979.83
2022,Q1,الإدارة المالية,بورسعيد - الشرق,38,1404822,72539.47
2022,Q1,الإدارة المالية,دمياط - دمياط الجديدة,28,857808,85807.79
2022,Q1,التسويق والمبيعات,أسيوط - أسيوط الجديدة,49,1474998,110390.51
2022,Q1,التسويق والمبيعات,الاسكندرية سموحة,23,987183,74518.54
2022,Q1,التسويق والمبيعات,لوران,31,1381050,102152.3
2022,Q1,التسويق والمبيعات,الجيزة - 6 أكتوبر,18,852282,98148.61
2022,Q1,التسويق والمبيعات,الجيزة - الدقي,64,1786176,163866.76
2022,Q1,التسويق والمبيعات,الجيزة - الشيخ زايد,42,2117934,111200.97
2022,Q1,التسويق والمبيعات,المنصورة,15,707625,82359.68
2022,Q1,التسويق والمبيعات,الغربية - طنطا,78,2957292,175969.78
2022,Q1,التسويق والمبيعات,فرع التجمع,40,1854000,181952.24
2022,Q1,التسويق والمبيعات,القاهرة - القرية الذكية,65,2081235,237671.4
2022,Q1,التسويق والمبيعات,القاهرة - المعادي,17,858177,102493.97
2022,Q1,التسويق والمبيعات,القاهرة - مصر الجديدة,18,492696,46565.46
2022,Q1,التسويق والمبيعات,بورسعيد - الشرق,50,2515350,253801.68
2022,Q1,التسويق والمبيعات,دمياط - دمياط الجديدة,79,3641031,358551.0
2022,Q1,العمليات وسلاسل الإمداد,أسيوط - أسيوط الجديدة,61,2662833,203492.31
2022,Q1,العمليات وسلاسل الإمداد,الإسكندرية - سموحة,19,656013,65442.38
2022,Q1,العمليات وسلاسل الإمداد,الإسكندرية - لوران,46,1908402,167361.07
2022,Q1,العمليات وسلاسل الإمداد,الجيزة - 6 أكتوبر,67,2071104,211186.65
2022,Q1,العمليات وسلاسل الإمداد,الجيزة - الدقي,59,3024930,273815.57
2022,Q1,العمليات وسلاسل الإمداد,الجيزة - الشيخ زايد,36,1541268,112377.6
2022,Q1,العمليات وسلاسل الإمداد,الدقهلية - المنصورة,52,2069808,186140.63
2022,Q1,العمليات وسلاسل الإمداد,الغربية - طنطا,59,1776018,189553.18
2022,Q1,العمليات وسلاسل الإمداد,فرع التجمع,25,1128900,65482.31
2022,Q1,العمليات وسلاسل الإمداد,القاهرة - القرية الذكية,17,824823,48843.88
2022,Q1,العمليات وسلاسل الإمداد,القاهرة - المعادي,15,646065,61718.82
2022,Q1,العمليات وسلاسل الإمداد,القاهرة - مصر الجديدة,15,566820,46391.04
2022,Q1,العمليات وسلاسل الإمداد,الشرق,17,595272,40741.98
2022,Q1,العمليات وسلاسل الإمداد,دمياط - دمياط الجديدة,48,1770768,100008.22
2022,Q1,الموارد البشرية,أسيوط - أسيوط الجديدة,38,1258446,149425.69
2022,Q1,الموارد البشرية,الإسكندرية - سموحة,57,1682640,166715.06
2022,Q1,الموارد البشرية,لوران,15,489600,36695.43
2022,Q1,الموارد البشرية,الجيزة - 6 أكتوبر,53,2674380,215926.54
2022,Q1,الموارد البشرية,الدقي,76,3470844,410381.1
2022,Q1,الموارد البشرية,الجيزة - الشيخ زايد,19,538821,58037.89
2022,Q1,الموارد البشرية,الدقهلية - المنصورة,24,922176,56843.03
2022,Q1,الموارد البشرية,الغربية - طنطا,32,1599936,158149.74
2022,Q1,الموارد البشرية,القاهرة - التجمع الخامس,71,2934714,305494.0
2022,Q1,الموارد البشرية,القاهرة - القرية الذكية,28,854616,83044.7
2022,Q1,الموارد البشرية,القاهرة - المعادي,55,1554135,148370.38
2022,Q1,الموارد البشرية,القاهرة - مصر الجديدة,78,3820752,438130.28
2022,Q1,الموارد البشرية,الشرق,72,2117016,199986.83
2022,Q1,الموارد البشرية,دمياط - دمياط الجديدة,58,1969332,173207.38
2022,Q1,تكنولوجيا المعلومات,أسيوط - أسيوط الجديدة,70,2484090,196021.13
2022,Q1,تكنولوجيا المعلومات,الاسكندرية سموحة,64,2126400,250885.23
2022,Q1,تكنولوجيا المعلومات,الإسكندرية - لوران,18,533844,33794.29
2022,Q1,تكنولوجيا المعلومات,الجيزة - 6 أكتوبر,51,2754000,243697.91
2022,Q1,تكنولوجيا المعلومات,الجيزة - الدقي,41,1153740,80145.18
2022,Q1,تكنولوجيا المعلومات,الجيزة - الشيخ زايد,75,2481075,201097.34
2022,Q1,تكنولوجيا المعلومات,الدقهلية - المنصورة,18,848286,94447.22
2022,Q1,تكنولوجيا المعلومات,الغربية - طنطا,32,1083936,66715.12
2022,Q1,تكنولوجيا المعلومات,التجمع,31,939207,97481.76
2022,Q1,تكنولوجيا المعلومات,القاهرة - القرية الذكية,44,2131008,226758.78
2022,Q1,تكنولوجيا المعلومات,المعادي,28,1195404,79904.13
2022,Q1,تكنولوجيا المعلومات,القاهرة - مصر الجديدة,78,2580786,133901.16
2022,Q1,تكنولوجيا المعلومات,الشرق,38,1898784,112213.54
2022,Q1,تكنولوجيا المعلومات,دمياط - دمياط الجديدة,16,449280,52740.84
2022,Q1,خدمة العملاء والعمليات المساندة,أسيوط - أسيوط الجديدة,47,2357379,210953.62
2022,Q1,خدمة العملاء والعمليات المساندة,سموحة,70,2916480,221134.37
2022,Q1,خدمة العملاء والعمليات المساندة,لوران,29,1186854,124269.36
2022,Q1,خدمة العملاء والعمليات المساندة,الجيزة - 6 أكتوبر,18,728298,85593.3
2022,Q1,خدمة العملاء والعمليات المساندة,الجيزة - الدقي,76,4099440,297217.3
2022,Q1,خدمة العملاء والعمليات المساندة,الجيزة - الشيخ زايد,41,1230369,88936.2
2022,Q1,خدمة العملاء والعمليات المساندة,الدقهلية - المنصورة,51,2349162,208723.65
2022,Q1,خدمة العملاء والعمليات المساندة,الغربية - طنطا,37,1700631,185320.64
2022,Q1,خدمة العملاء والعمليات المساندة,القاهرة - التجمع الخامس,29,897666,105130.98
