EmployeeID,CourseID,CourseName,SkillDomain,CompletionDate,Score,Status,Cost_EGP
EMP-15239,CRS-201,Agile Project Management,Leadership,2025-03-12,94,Completed,1200
EMP-15239,CRS-103,Power BI DAX Masterclass,Tech,2025-10-21,81,Completed,2000
EMP-10913,CRS-103,Power BI DAX Masterclass,Tech,2025-05-01,73,Completed,2000
EMP-10913,CRS-103,Power BI DAX Masterclass,Tech,2025-06-30,79,Completed,2000
EMP-10205,CRS-103,Power BI DAX Masterclass,Tech,2025-07-21,86,Completed,2000
EMP-16075,CRS-201,Agile Project Management,Leadership,2025-07-15,72,Completed,1200
EMP-16075,CRS-201,Agile Project Management,Leadership,2025-09-12,78,Completed,1200
EMP-12254,CRS-103,Power BI DAX Masterclass,Tech,2023-08-12,99,Completed,2000
EMP-12007,CRS-102,Python for Data Engineering,Tech,2026-02-04,80,Completed,2500
EMP-11829,CRS-102,Python for Data Engineering,Tech,2025-06-04,70,Completed,2500
EMP-11829,CRS-102,Python for Data Engineering,Tech,2025-06-30,89,Completed,2500
EMP-11829,CRS-201,Agile Project Management,Leadership,2026-04-27,63,Failed,0
EMP-11829,CRS-201,Agile Project Management,Leadership,2026-05-24,81,Completed,1200
EMP-11829,CRS-302,Modern Data Stack Architecture,Tech,2024-07-24,52,Failed,0
EMP-11829,CRS-302,Modern Data Stack Architecture,Tech,2024-09-10,80,Completed,4000
EMP-11829,CRS-202,Cross-Cultural Business Communication,Soft Skills,2025-01-19,76,Completed,800
EMP-11144,CRS-302,Modern Data Stack Architecture,Tech,2025-09-29,100,Completed,4000
EMP-16034,CRS-202,Cross-Cultural Business Communication,Soft Skills,2026-04-17,81,Completed,800
EMP-16034,CRS-201,Agile Project Management,Leadership,2025-07-26,75,Completed,1200
EMP-10840,CRS-103,Power BI DAX Masterclass,Tech,2026-04-23,52,Failed,0
EMP-10840,CRS-103,Power BI DAX Masterclass,Tech,2026-05-14,82,Completed,2000
EMP-10840,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-09-17,75,Completed,800
EMP-15544,CRS-201,Agile Project Management,Leadership,2025-05-06,74,Completed,1200
EMP-15544,CRS-201,Agile Project Management,Leadership,2025-06-16,80,Completed,1200
EMP-16068,CRS-202,Cross-Cultural Business Communication,Soft Skills,2023-12-21,75,Completed,800
EMP-14468,CRS-103,Power BI DAX Masterclass,Tech,2025-07-12,71,Completed,2000
EMP-14468,CRS-103,Power BI DAX Masterclass,Tech,2025-07-26,90,Completed,2000
EMP-10713,CRS-302,Modern Data Stack Architecture,Tech,2025-02-25,86,Completed,4000
EMP-14838,CRS-201,Agile Project Management,Leadership,2025-05-01,85,Completed,1200
EMP-13457,CRS-302,Modern Data Stack Architecture,Tech,2024-08-21,78,Completed,4000
EMP-13457,CRS-102,Python for Data Engineering,Tech,2024-08-14,94,Completed,2500
EMP-10261,CRS-302,Modern Data Stack Architecture,Tech,2026-01-30,73,Completed,4000
EMP-10261,CRS-302,Modern Data Stack Architecture,Tech,2026-03-02,99,Completed,4000
EMP-10261,CRS-201,Agile Project Management,Leadership,2026-01-17,87,Completed,1200
EMP-10245,CRS-301,Cloud Security & Compliance,Compliance,2025-06-22,76,Completed,3000
EMP-10768,CRS-302,Modern Data Stack Architecture,Tech,2024-05-21,97,Completed,4000
EMP-11792,CRS-103,Power BI DAX Masterclass,Tech,2023-06-28,97,Completed,2000
EMP-11906,CRS-102,Python for Data Engineering,Tech,2026-04-19,97,Completed,2500
EMP-11906,CRS-302,Modern Data Stack Architecture,Tech,2025-05-26,55,Failed,0
EMP-11906,CRS-302,Modern Data Stack Architecture,Tech,2025-06-22,81,Completed,4000
EMP-14140,CRS-202,Cross-Cultural Business Communication,Soft Skills,2024-07-29,87,Completed,800
EMP-14140,CRS-103,Power BI DAX Masterclass,Tech,2024-08-22,88,Completed,2000
EMP-14140,CRS-302,Modern Data Stack Architecture,Tech,2025-11-19,74,Completed,4000
EMP-14140,CRS-302,Modern Data Stack Architecture,Tech,2025-12-29,76,Completed,4000
EMP-14932,CRS-302,Modern Data Stack Architecture,Tech,2024-05-26,92,Completed,4000
EMP-14932,CRS-301,Cloud Security & Compliance,Compliance,2024-05-21,62,Failed,0
EMP-14932,CRS-301,Cloud Security & Compliance,Compliance,2024-07-14,83,Completed,3000
EMP-14932,CRS-102,Python for Data Engineering,Tech,2025-04-28,62,Failed,0
EMP-14932,CRS-102,Python for Data Engineering,Tech,2025-05-17,87,Completed,2500
EMP-14932,CRS-202,Cross-Cultural Business Communication,Soft Skills,2025-11-21,92,Completed,800
EMP-10218,CRS-201,Agile Project Management,Leadership,2024-11-01,70,Completed,1200
EMP-10218,CRS-201,Agile Project Management,Leadership,2024-12-31,77,Completed,1200
EMP-14598,CRS-201,Agile Project Management,Leadership,2025-01-03,95,Completed,1200
EMP-14598,CRS-301,Cloud Security & Compliance,Compliance,2024-03-22,96,Completed,3000
EMP-11629,CRS-302,Modern Data Stack Architecture,Tech,2024-08-03,87,Completed,4000
EMP-15866,CRS-201,Agile Project Management,Leadership,2023-04-10,73,Completed,1200
EMP-15866,CRS-201,Agile Project Management,Leadership,2023-05-23,75,Completed,1200
EMP-15866,CRS-103,Power BI DAX Masterclass,Tech,2023-09-12,84,Completed,2000
EMP-15324,CRS-201,Agile Project Management,Leadership,2023-11-22,72,Completed,1200
EMP-15324,CRS-201,Agile Project Management,Leadership,2023-12-22,77,Completed,1200
EMP-15324,CRS-102,Python for Data Engineering,Tech,2025-01-31,71,Completed,2500
EMP-15324,CRS-102,Python for Data Engineering,Tech,2025-03-05,98,Completed,2500
EMP-15324,CRS-301,Cloud Security & Compliance,Compliance,2024-04-24,63,Failed,0
EMP-15324,CRS-301,Cloud Security & Compliance,Compliance,2024-05-14,75,Completed,3000
EMP-15324,CRS-103,Power BI DAX Masterclass,Tech,2024-03-13,65,Failed,0
EMP-15324,CRS-103,Power BI DAX Masterclass,Tech,2024-04-10,91,Completed,2000
EMP-15746,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-12-04,97,Completed,1500
EMP-15746,CRS-302,Modern Data Stack Architecture,Tech,2023-09-28,72,Completed,4000
EMP-15746,CRS-302,Modern Data Stack Architecture,Tech,2023-10-17,98,Completed,4000
EMP-14465,CRS-101,Advanced SQL & Performance Tuning,Tech,2024-09-04,82,Completed,1500
EMP-14465,CRS-103,Power BI DAX Masterclass,Tech,2023-09-30,72,Completed,2000
EMP-14465,CRS-103,Power BI DAX Masterclass,Tech,2023-10-14,94,Completed,2000
EMP-14465,CRS-301,Cloud Security & Compliance,Compliance,2023-12-03,81,Completed,3000
EMP-13437,CRS-102,Python for Data Engineering,Tech,2025-06-25,72,Completed,2500
EMP-13437,CRS-102,Python for Data Engineering,Tech,2025-07-17,99,Completed,2500
EMP-13437,CRS-201,Agile Project Management,Leadership,2023-09-10,93,Completed,1200
EMP-11806,CRS-103,Power BI DAX Masterclass,Tech,2023-06-22,87,Completed,2000
EMP-11806,CRS-102,Python for Data Engineering,Tech,2026-05-29,94,Completed,2500
EMP-11806,CRS-301,Cloud Security & Compliance,Compliance,2023-02-24,76,Completed,3000
EMP-11806,CRS-302,Modern Data Stack Architecture,Tech,2025-11-09,93,Completed,4000
