EmployeeID,NoticeDate,ExitDate,ExitType,PrimaryExitReason,LastPerformanceScore,RehireEligible,SeparationSalary,SeparationBranch
EMP-14882,2025-09-01,2025-09-27,Voluntary,Career Growth,4.1,1,11500.0,الجيزة - الشيخ زايد
EMP-14884,2025-04-10,2025-05-12,Voluntary,Compensation & Market Rate,4.1,1,17000.0,بورسعيد - الشرق
EMP-15048,2025-09-27,2025-11-03,Voluntary,Career Growth,4.6,1,8500.0,الجيزة - 6 أكتوبر
EMP-13895,2025-11-27,2025-12-20,Voluntary,Direct Management,4.4,0,23500.0,دمياط - دمياط الجديدة
EMP-10910,2025-02-05,2025-02-28,Voluntary,Personal Reasons,4.2,1,15000.0,القاهرة - مصر الجديدة
EMP-12681,2025-02-12,2025-03-08,Voluntary,Burnout & Overwork,4.1,1,31000.0,القاهرة - مصر الجديدة
EMP-11711,2025-11-20,2025-12-21,Voluntary,Direct Management,3.0,0,22500.0,الدقهلية - المنصورة
EMP-13309,2025-09-17,2025-10-11,Voluntary,Burnout & Overwork,3.7,1,33500.0,أسيوط - أسيوط الجديدة
EMP-10449,2025-09-06,2025-10-16,Voluntary,Personal Reasons,3.3,1,12500.0,القاهرة - المعادي
EMP-13527,2024-12-23,2025-01-14,Voluntary,Career Growth,4.5,1,9000.0,القاهرة - القرية الذكية
EMP-10204,2025-09-04,2025-10-16,Voluntary,Career Growth,4.5,1,27500.0,أسيوط - أسيوط الجديدة
EMP-12950,2025-11-16,2025-12-05,Voluntary,Personal Reasons,3.2,1,27000.0,الغربية - طنطا
EMP-14844,2025-08-25,2025-09-21,Voluntary,Career Growth,4.0,1,8500.0,دمياط - دمياط الجديدة
EMP-12069,2025-06-01,2025-07-10,Voluntary,Burnout & Overwork,3.1,1,15500.0,القاهرة - التجمع الخامس
EMP-13609,2025-01-22,2025-02-27,Voluntary,Burnout & Overwork,5.0,1,26500.0,الجيزة - 6 أكتوبر
EMP-14124,2025-03-19,2025-04-03,Voluntary,Relocation,3.1,1,22000.0,الإسكندرية - سموحة
EMP-16434,2025-11-06,2025-12-10,Voluntary,Burnout & Overwork,3.0,1,13500.0,القاهرة - القرية الذكية
EMP-15115,2025-05-03,2025-06-01,Voluntary,Burnout & Overwork,3.5,1,14500.0,الإسكندرية - سموحة
EMP-16232,2025-07-20,2025-09-03,Voluntary,Burnout & Overwork,3.7,1,31000.0,الجيزة - الدقي
EMP-14999,2025-05-13,2025-06-19,Voluntary,Career Growth,4.1,1,29500.0,الدقهلية - المنصورة
EMP-10493,2024-12-08,2025-01-05,Voluntary,Personal Reasons,3.8,1,17500.0,الإسكندرية - لوران
EMP-10871,2025-02-08,2025-03-03,Voluntary,Personal Reasons,3.3,1,22000.0,الغربية - طنطا
